month,day_type,hour,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,action
7.0,7.0,24.0,20.0,18.3,22.8,20.0,84.0,81.0,68.0,81.0,0.0,25.0,964.0,0.0,0.0,100.0,815.0,0.0,0.1707244126403808,9.752909342447929e-08,0.0,0.0,9.752909342447929e-08,0.22,0.22,0.22,0.22,0.47670072317123413
8.0,1.0,1.0,20.1,19.4,22.8,19.4,79.0,79.0,71.0,87.0,0.0,201.0,966.0,0.0,0.0,444.0,747.0,0.0,0.1573190581037597,9.918212890625013e-08,0.0,0.4482713141185954,3.0508847274780275,0.22,0.22,0.22,0.22,0.637100100517273
8.0,1.0,2.0,19.7,21.1,22.2,19.4,78.0,73.0,73.0,87.0,0.0,420.0,683.0,0.0,0.0,592.0,291.0,0.0,0.1545025601953125,9.918212890625013e-08,0.0,0.9999976164963842,3.730083384926784,0.22,0.22,0.22,0.22,-0.31216880679130554
8.0,1.0,3.0,19.3,22.2,22.8,19.4,78.0,71.0,71.0,90.0,0.0,554.0,522.0,0.0,0.0,491.0,153.0,0.0,0.1509448778981933,9.918212890625013e-08,0.0,0.828490960262493,-0.9999999008178709,0.22,0.22,0.22,0.22,0.3505944013595581
8.0,1.0,4.0,18.9,21.7,22.2,18.9,78.0,73.0,71.0,90.0,0.0,778.0,444.0,0.0,0.0,734.0,174.0,0.0,0.1518198641750488,9.918212890625013e-08,0.0,0.9999939211077326,1.1863325950770667,0.22,0.22,0.54,0.22,-0.1638304740190506
8.0,1.0,5.0,18.3,22.2,21.1,18.3,81.0,71.0,76.0,93.0,0.0,903.0,392.0,0.0,0.0,811.0,396.0,0.0,0.1580882182441406,9.918212890625013e-08,0.0,0.8284872648738414,-0.9999999008178709,0.22,0.22,0.54,0.22,-0.7171940207481384
8.0,1.0,6.0,18.3,22.8,20.6,18.9,81.0,68.0,78.0,90.0,25.0,964.0,231.0,15.0,100.0,815.0,320.0,14.0,0.1619393621623535,0.008633417892456,0.04165,0.08995721354044542,-4.463155200818723,0.22,0.22,0.54,0.22,-0.7559508085250854
8.0,1.0,7.0,19.4,22.8,20.6,20.0,79.0,71.0,73.0,87.0,201.0,966.0,27.0,116.0,444.0,747.0,143.0,42.0,0.164345968935791,0.3047500157674155,0.40314999999999995,0.0,-0.6317158825803219,0.22,0.22,0.54,0.22,-0.1981411576271057
8.0,1.0,8.0,21.1,22.2,20.0,20.0,73.0,73.0,76.0,87.0,420.0,683.0,0.0,252.0,592.0,291.0,0.0,74.0,0.1909981533635253,0.5388667521158854,1.0329166666666667,0.0,-0.4940499145507813,0.22,0.22,0.54,0.22,-0.21346448361873627
8.0,1.0,9.0,22.2,22.8,20.6,20.0,71.0,71.0,70.0,84.0,554.0,522.0,0.0,292.0,491.0,153.0,0.0,35.0,0.202898866493164,1.3050333333333335,1.6945333333333332,0.0,-0.38949999999999974,0.22,0.22,0.22,0.22,-0.6977166533470154
8.0,1.0,10.0,21.7,22.2,20.6,21.7,73.0,71.0,73.0,76.0,778.0,444.0,0.0,436.0,734.0,174.0,0.0,95.0,0.212871689040039,1.61705,2.2659333333333334,0.0,-0.6488833333333333,0.22,0.54,0.22,0.22,0.19358877837657928
8.0,1.0,11.0,22.2,21.1,19.4,21.7,71.0,76.0,81.0,73.0,903.0,392.0,0.0,604.0,811.0,396.0,0.0,209.0,0.2257099151513672,2.7272666666666656,2.652883333333333,0.17636571342853744,1.3133370627437135,0.22,0.54,0.22,0.22,-0.7452670335769653
8.0,1.0,12.0,22.8,20.6,20.0,22.2,68.0,78.0,81.0,71.0,964.0,231.0,0.0,589.0,815.0,320.0,0.0,144.0,0.2346078929833984,3.861716666666666,2.8408166666666665,0.0,-0.0267740838063677,0.22,0.54,0.22,0.22,-0.3367002308368683
8.0,1.0,13.0,22.8,20.6,19.4,21.0,71.0,73.0,87.0,78.0,966.0,27.0,0.0,554.0,747.0,143.0,0.0,133.0,0.2428606982099609,2.1907833333333344,2.8138333333333336,0.0,-0.6230499999999992,0.22,0.54,0.22,0.22,-0.5705418586730957
8.0,1.0,14.0,22.2,20.0,19.4,21.0,73.0,76.0,87.0,78.0,683.0,0.0,0.0,907.0,291.0,0.0,0.0,685.0,0.242239251699707,2.5295333333333327,2.5820333333333334,0.0,-0.05250000000000066,0.22,0.54,0.22,0.22,-0.6709751486778259
8.0,1.0,15.0,22.8,20.6,19.4,22.8,71.0,70.0,90.0,68.0,522.0,0.0,0.0,789.0,153.0,0.0,0.0,777.0,0.242680302368164,1.4962833333333336,2.1816833333333334,0.0,-0.6853999999999998,0.22,0.22,0.22,0.22,0.4304351210594177
8.0,1.0,16.0,22.2,20.6,18.9,22.8,71.0,73.0,90.0,67.0,444.0,0.0,0.0,631.0,174.0,0.0,0.0,703.0,0.2452496696010742,0.8163333348592121,1.5872666666666666,0.40238033315691707,1.983814387933821,0.54,0.22,0.22,0.54,0.24429123103618622
8.0,1.0,17.0,21.1,19.4,18.3,22.2,76.0,81.0,93.0,68.0,392.0,0.0,0.0,443.0,396.0,0.0,0.0,585.0,0.2461469423500976,1.7462166666666668,0.9177666666666665,0.6252342520016354,2.3918894833866693,0.54,0.22,0.22,0.54,0.5315372347831726
8.0,1.0,18.0,20.6,20.0,18.9,23.3,78.0,81.0,90.0,79.0,231.0,0.0,15.0,245.0,320.0,0.0,14.0,337.0,0.2427593985805664,0.9585166666666666,0.3135,0.9999831752125132,3.177987109502671,0.54,0.22,0.22,0.54,0.6959530711174011
8.0,1.0,19.0,20.6,19.4,20.0,22.8,73.0,87.0,87.0,68.0,27.0,0.0,116.0,27.0,143.0,0.0,42.0,147.0,0.2415094735551758,0.8073000000000001,0.021016666666666666,0.9999811962960599,0.7862717949097131,0.54,0.22,0.22,0.54,-0.7678966522216797
8.0,1.0,20.0,20.0,19.4,20.0,22.8,76.0,87.0,87.0,61.0,0.0,0.0,252.0,0.0,0.0,0.0,74.0,0.0,0.2435890921015625,0.7443833847045899,0.0,0.8284745400621687,-0.25561661529541,0.54,0.22,0.22,0.54,0.6216202974319458
8.0,1.0,21.0,20.6,19.4,20.0,20.0,70.0,90.0,84.0,84.0,0.0,0.0,292.0,0.0,0.0,0.0,35.0,0.0,0.2407391921699218,9.918212890625013e-08,0.0,0.9999804150223546,1.1570117193938134,0.22,0.22,0.22,0.22,-0.6843801140785217
8.0,1.0,22.0,20.6,18.9,21.7,20.6,73.0,90.0,76.0,78.0,0.0,0.0,436.0,0.0,0.0,0.0,95.0,0.0,0.229270379796875,9.918212890625013e-08,0.0,0.8284737587884634,-0.9999999008178709,0.22,0.22,0.22,0.22,-0.11550179123878479
8.0,1.0,23.0,19.4,18.3,21.7,20.6,81.0,93.0,73.0,78.0,0.0,0.0,604.0,0.0,0.0,0.0,209.0,0.0,0.2152947268957519,9.918212890625013e-08,0.0,0.7016967689867045,-0.7391956415876492,0.22,0.22,0.22,0.22,0.7664600610733032
